"","date","jobcountry","new_postings","total_postings"
"47",2020-03-18,"IE",-15.81,-10.44
"48",2020-03-19,"IE",-21.54,-11.78
"49",2020-03-20,"IE",-27.86,-13.58
"50",2020-03-21,"IE",-33.55,-15.37
"51",2020-03-22,"IE",-40.04,-17.13
"52",2020-03-23,"IE",-45.21,-18.71
"53",2020-03-24,"IE",-49.45,-20.39
"54",2020-03-25,"IE",-50.82,-22.07
"55",2020-03-26,"IE",-50.98,-23.44
"56",2020-03-27,"IE",-50.5,-24.5
"57",2020-03-28,"IE",-50.42,-25.66
"58",2020-03-29,"IE",-49.45,-26.88
"59",2020-03-30,"IE",-49.62,-28.13
"60",2020-03-31,"IE",-49.55,-29.22
"61",2020-04-01,"IE",-50.57,-30.43
"62",2020-04-02,"IE",-52.88,-31.74
"63",2020-04-03,"IE",-55.06,-32.88
"64",2020-04-04,"IE",-56.53,-34
"65",2020-04-05,"IE",-57.91,-34.97
"66",2020-04-06,"IE",-59.17,-36.1
"67",2020-04-07,"IE",-60.25,-37.18
"68",2020-04-08,"IE",-61,-37.99
"69",2020-04-09,"IE",-61.39,-38.84
"70",2020-04-10,"IE",-61.29,-39.61
"71",2020-04-11,"IE",-61.59,-40.31
"72",2020-04-12,"IE",-62.07,-41.16
"73",2020-04-13,"IE",-63.17,-41.92
"74",2020-04-14,"IE",-64.54,-42.64
"75",2020-04-15,"IE",-65.65,-43.32
"76",2020-04-16,"IE",-66.6,-43.9
"77",2020-04-17,"IE",-67.9,-44.55
"78",2020-04-18,"IE",-68.29,-45.13
"79",2020-04-19,"IE",-68.82,-45.69
"80",2020-04-20,"IE",-68.52,-46.21
"81",2020-04-21,"IE",-66.94,-46.71
"82",2020-04-22,"IE",-65.67,-47.23
"83",2020-04-23,"IE",-64.24,-47.71
"84",2020-04-24,"IE",-63.27,-48.19
"85",2020-04-25,"IE",-62.81,-48.63
"86",2020-04-26,"IE",-62.3,-49.01
"87",2020-04-27,"IE",-62.45,-49.38
"88",2020-04-28,"IE",-63.27,-49.63
"89",2020-04-29,"IE",-63.81,-49.85
"90",2020-04-30,"IE",-64.23,-50.04
"91",2020-05-01,"IE",-63.98,-50.19
"92",2020-05-02,"IE",-63.84,-50.33
"93",2020-05-03,"IE",-63.76,-50.5
"94",2020-05-04,"IE",-63.14,-50.61
"95",2020-05-05,"IE",-63.39,-50.91
"96",2020-05-06,"IE",-63.86,-51.14
"97",2020-05-07,"IE",-64.66,-51.44
"98",2020-05-08,"IE",-65.14,-51.62
"99",2020-05-09,"IE",-65.62,-51.77
"100",2020-05-10,"IE",-66.02,-51.87
"101",2020-05-11,"IE",-66.5,-52.04
"102",2020-05-12,"IE",-65.84,-52.07
"103",2020-05-13,"IE",-64.99,-52.27
"104",2020-05-14,"IE",-63.94,-52.42
"105",2020-05-15,"IE",-63.56,-52.68
"106",2020-05-16,"IE",-63.15,-52.97
"107",2020-05-17,"IE",-63.28,-53.37
"108",2020-05-18,"IE",-63.06,-53.69
"109",2020-05-19,"IE",-63.08,-53.96
"110",2020-05-20,"IE",-63.61,-54.14
"111",2020-05-21,"IE",-63.56,-54.05
"112",2020-05-22,"IE",-63.61,-53.69
"113",2020-05-23,"IE",-63.38,-53.41
"114",2020-05-24,"IE",-62.57,-53.21
"115",2020-05-25,"IE",-62.42,-53.29
"116",2020-05-26,"IE",-62.62,-53.23
"117",2020-05-27,"IE",-62.33,-53.08
"118",2020-05-28,"IE",-62.43,-53.2
"119",2020-05-29,"IE",-62.4,-53.69
"120",2020-05-30,"IE",-63.4,-53.93
"121",2020-05-31,"IE",-63.48,-53.95
"122",2020-06-01,"IE",-63.4,-53.99
"123",2020-06-02,"IE",-63.59,-54.09
"124",2020-06-03,"IE",-63.9,-54.26
"125",2020-06-04,"IE",-63.84,-54.39
"126",2020-06-05,"IE",-63.66,-53.93
"127",2020-06-06,"IE",-62.64,-53.59
"128",2020-06-07,"IE",-61.88,-53.17
"129",2020-06-08,"IE",-60.91,-52.56
"130",2020-06-09,"IE",-58.81,-52.06
"131",2020-06-10,"IE",-57.08,-51.6
"132",2020-06-11,"IE",-55.65,-51.06
"133",2020-06-12,"IE",-54.39,-50.9
"134",2020-06-13,"IE",-53.22,-50.63
"135",2020-06-14,"IE",-52.83,-50.5
"136",2020-06-15,"IE",-52.69,-50.31
"137",2020-06-16,"IE",-52.61,-49.94
"138",2020-06-17,"IE",-52.2,-49.61
"139",2020-06-18,"IE",-51.67,-49.3
"140",2020-06-19,"IE",-51.24,-49.06
"141",2020-06-20,"IE",-50.58,-48.73
"142",2020-06-21,"IE",-49.9,-48.46
"143",2020-06-22,"IE",-49.14,-48.23
"144",2020-06-23,"IE",-48.72,-48.06
"145",2020-06-24,"IE",-48.25,-47.85
"146",2020-06-25,"IE",-48.48,-47.71
"147",2020-06-26,"IE",-48.98,-47.59
"148",2020-06-27,"IE",-49.69,-47.67
"149",2020-06-28,"IE",-49.79,-47.6
"150",2020-06-29,"IE",-49.93,-47.56
"151",2020-06-30,"IE",-50.33,-47.72
"152",2020-07-01,"IE",-50.32,-47.84
"153",2020-07-02,"IE",-49.48,-47.92
"154",2020-07-03,"IE",-47.92,-47.93
"155",2020-07-04,"IE",-46.24,-47.82
"156",2020-07-05,"IE",-45.26,-47.67
"157",2020-07-06,"IE",-44.19,-47.56
"158",2020-07-07,"IE",-43.54,-47.28
"159",2020-07-08,"IE",-43.35,-47.02
"160",2020-07-09,"IE",-43.66,-46.89
"161",2020-07-10,"IE",-43.95,-46.87
"162",2020-07-11,"IE",-45.22,-46.86
"163",2020-07-12,"IE",-45.44,-46.79
"164",2020-07-13,"IE",-45.62,-46.67
"165",2020-07-14,"IE",-44.96,-46.52
"166",2020-07-15,"IE",-44.19,-46.53
"167",2020-07-16,"IE",-42.84,-46.33
"168",2020-07-17,"IE",-42.78,-46.2
"169",2020-07-18,"IE",-40.5,-45.86
"170",2020-07-19,"IE",-38.99,-45.67
"171",2020-07-20,"IE",-37.47,-45.48
"172",2020-07-21,"IE",-36.56,-45.4
"173",2020-07-22,"IE",-35.68,-45.17
"174",2020-07-23,"IE",-35.81,-45
"175",2020-07-24,"IE",-34.95,-44.67
"176",2020-07-25,"IE",-34.9,-44.41
"177",2020-07-26,"IE",-34.98,-44.25
"178",2020-07-27,"IE",-35.23,-44.14
"179",2020-07-28,"IE",-35.08,-43.87
"180",2020-07-29,"IE",-35.38,-43.66
"181",2020-07-30,"IE",-35.7,-43.51
"182",2020-07-31,"IE",-35.37,-43.29
"183",2020-08-01,"IE",-35.77,-43.24
"184",2020-08-02,"IE",-36.18,-43.22
"185",2020-08-03,"IE",-36.78,-43.22
"186",2020-08-04,"IE",-38.45,-43.39
"187",2020-08-05,"IE",-39.79,-43.65
"188",2020-08-06,"IE",-40.12,-43.62
"189",2020-08-07,"IE",-40.72,-43.6
"190",2020-08-08,"IE",-40.81,-43.5
"191",2020-08-09,"IE",-40.91,-43.34
"192",2020-08-10,"IE",-40.41,-43.17
"193",2020-08-11,"IE",-37.73,-42.79
"194",2020-08-12,"IE",-34.81,-42.25
"195",2020-08-13,"IE",-32.57,-41.94
"196",2020-08-14,"IE",-30.9,-41.68
"197",2020-08-15,"IE",-29.81,-41.58
"198",2020-08-16,"IE",-29.16,-41.49
"199",2020-08-17,"IE",-29.17,-41.38
"200",2020-08-18,"IE",-30.41,-41.34
"201",2020-08-19,"IE",-32.28,-41.37
"202",2020-08-20,"IE",-33.98,-41.44
"203",2020-08-21,"IE",-35.87,-41.67
"204",2020-08-22,"IE",-37.63,-41.76
"205",2020-08-23,"IE",-38.64,-41.74
"206",2020-08-24,"IE",-39.2,-41.72
"207",2020-08-25,"IE",-39.45,-41.67
"208",2020-08-26,"IE",-39.2,-41.56
"209",2020-08-27,"IE",-38.61,-41.41
"210",2020-08-28,"IE",-37.54,-41.24
"211",2020-08-29,"IE",-35.98,-40.89
"212",2020-08-30,"IE",-34.65,-40.63
"213",2020-08-31,"IE",-33.53,-40.38
"214",2020-09-01,"IE",-33.07,-40.32
"215",2020-09-02,"IE",-32.88,-40.25
"216",2020-09-03,"IE",-32.97,-40.18
"217",2020-09-04,"IE",-33.22,-39.9
"218",2020-09-05,"IE",-33.77,-39.82
"219",2020-09-06,"IE",-34.09,-39.72
"220",2020-09-07,"IE",-34.3,-39.61
"221",2020-09-08,"IE",-34.12,-39.4
"222",2020-09-09,"IE",-33.76,-39.15
"223",2020-09-10,"IE",-33.68,-38.84
"224",2020-09-11,"IE",-33.12,-38.49
"225",2020-09-12,"IE",-32.53,-38.21
"226",2020-09-13,"IE",-32.34,-38.13
"227",2020-09-14,"IE",-31.99,-37.97
"228",2020-09-15,"IE",-31.54,-37.91
"229",2020-09-16,"IE",-31,-37.73
"230",2020-09-17,"IE",-29.82,-37.47
"231",2020-09-18,"IE",-29.28,-37.49
"232",2020-09-19,"IE",-28.73,-37.49
"233",2020-09-20,"IE",-28.18,-37.39
"234",2020-09-21,"IE",-27.8,-37.46
"235",2020-09-22,"IE",-27.74,-37.28
"236",2020-09-23,"IE",-27.57,-37.05
"237",2020-09-24,"IE",-27.99,-36.99
"238",2020-09-25,"IE",-28.14,-36.76
"239",2020-09-26,"IE",-28.43,-36.51
"240",2020-09-27,"IE",-28.57,-36.16
"241",2020-09-28,"IE",-28.48,-35.67
"242",2020-09-29,"IE",-28.49,-35.35
"243",2020-09-30,"IE",-28.64,-35.16
"244",2020-10-01,"IE",-28.09,-35
"245",2020-10-02,"IE",-27.54,-34.85
"246",2020-10-03,"IE",-27.07,-34.65
"247",2020-10-04,"IE",-26.67,-34.54
"248",2020-10-05,"IE",-26.61,-34.52
"249",2020-10-06,"IE",-26.24,-34.55
"250",2020-10-07,"IE",-25.95,-34.51
"251",2020-10-08,"IE",-25.95,-34.35
"252",2020-10-09,"IE",-26.32,-34.11
"253",2020-10-10,"IE",-26.4,-33.9
"254",2020-10-11,"IE",-26.32,-33.62
"255",2020-10-12,"IE",-25.88,-33.31
"256",2020-10-13,"IE",-25.96,-33.23
"257",2020-10-14,"IE",-26.42,-33.24
"258",2020-10-15,"IE",-26.49,-33.15
"259",2020-10-16,"IE",-26.45,-33.3
"260",2020-10-17,"IE",-26.48,-33.36
"261",2020-10-18,"IE",-26.7,-33.54
"262",2020-10-19,"IE",-27.43,-33.74
"263",2020-10-20,"IE",-28.58,-33.74
"264",2020-10-21,"IE",-29.36,-33.76
"265",2020-10-22,"IE",-30.55,-33.99
"266",2020-10-23,"IE",-31.41,-34.08
"267",2020-10-24,"IE",-32.31,-34.33
"268",2020-10-25,"IE",-32.84,-34.37
"269",2020-10-26,"IE",-33.61,-34.44
"270",2020-10-27,"IE",-33.98,-34.38
"271",2020-10-28,"IE",-34.27,-34.41
"272",2020-10-29,"IE",-34.37,-34.28
"273",2020-10-30,"IE",-34.55,-34.2
"274",2020-10-31,"IE",-35.3,-34.04
"275",2020-11-01,"IE",-36.72,-34.13
"276",2020-11-02,"IE",-36.86,-34.08
"277",2020-11-03,"IE",-35.16,-33.99
"278",2020-11-04,"IE",-33.31,-33.75
"279",2020-11-05,"IE",-31.93,-33.66
"280",2020-11-06,"IE",-30.53,-33.53
"281",2020-11-07,"IE",-28.02,-33.3
"282",2020-11-08,"IE",-25.27,-32.86
"283",2020-11-09,"IE",-23.49,-32.62
"284",2020-11-10,"IE",-22.66,-32.38
"285",2020-11-11,"IE",-22.16,-32.24
"286",2020-11-12,"IE",-21.14,-32.07
"287",2020-11-13,"IE",-20.1,-31.83
"288",2020-11-14,"IE",-19.89,-31.77
"289",2020-11-15,"IE",-19.43,-31.63
"290",2020-11-16,"IE",-18.91,-31.46
"291",2020-11-17,"IE",-18.94,-31.21
"292",2020-11-18,"IE",-19.02,-31.01
"293",2020-11-19,"IE",-19.45,-30.88
"294",2020-11-20,"IE",-20.75,-30.95
"295",2020-11-21,"IE",-21.61,-30.79
"296",2020-11-22,"IE",-22.08,-30.64
"297",2020-11-23,"IE",-22.32,-30.36
"298",2020-11-24,"IE",-22.64,-30.33
"299",2020-11-25,"IE",-22.48,-30.03
"300",2020-11-26,"IE",-22.25,-29.58
"301",2020-11-27,"IE",-21.27,-28.92
"302",2020-11-28,"IE",-20.37,-28.37
"303",2020-11-29,"IE",-19.86,-27.95
"304",2020-11-30,"IE",-19.19,-27.6
"305",2020-12-01,"IE",-18.13,-27.17
"306",2020-12-02,"IE",-17.33,-26.95
"307",2020-12-03,"IE",-16.31,-26.66
"308",2020-12-04,"IE",-15.99,-26.5
"309",2020-12-05,"IE",-14.94,-26.33
"310",2020-12-06,"IE",-14.03,-26.15
"311",2020-12-07,"IE",-13.36,-25.98
"312",2020-12-08,"IE",-13.04,-25.84
"313",2020-12-09,"IE",-12.87,-25.55
"314",2020-12-10,"IE",-13.85,-25.55
"315",2020-12-11,"IE",-13.92,-25.39
"316",2020-12-12,"IE",-15.07,-25.5
"317",2020-12-13,"IE",-16.06,-25.49
"318",2020-12-14,"IE",-16.66,-25.46
"319",2020-12-15,"IE",-17.3,-25.43
"320",2020-12-16,"IE",-17.79,-25.56
"321",2020-12-17,"IE",-18.04,-25.68
"322",2020-12-18,"IE",-18.19,-25.72
"323",2020-12-19,"IE",-18.13,-25.67
"324",2020-12-20,"IE",-18.32,-25.69
"325",2020-12-21,"IE",-19.15,-25.76
"326",2020-12-22,"IE",-20.01,-25.86
"327",2020-12-23,"IE",-21.18,-25.88
"328",2020-12-24,"IE",-21.75,-25.78
"329",2020-12-25,"IE",-23.57,-25.91
"330",2020-12-26,"IE",-26.19,-26.08
"331",2020-12-27,"IE",-27.05,-26.45
"332",2020-12-28,"IE",-25.85,-26.58
"333",2020-12-29,"IE",-25.49,-26.71
"334",2020-12-30,"IE",-26.26,-26.91
"335",2020-12-31,"IE",-28.89,-27.23
"336",2021-01-01,"IE",-30.04,-27.59
"337",2021-01-02,"IE",-30.94,-28.06
"338",2021-01-03,"IE",-34.15,-28.42
"339",2021-01-04,"IE",-39.62,-28.98
"340",2021-01-05,"IE",-42.76,-29.5
"341",2021-01-06,"IE",-42.75,-29.75
"342",2021-01-07,"IE",-40.4,-29.77
"343",2021-01-08,"IE",-37.94,-29.64
"344",2021-01-09,"IE",-33.44,-29.32
"345",2021-01-10,"IE",-28.86,-28.97
"346",2021-01-11,"IE",-24.08,-28.68
"347",2021-01-12,"IE",-21.93,-28.43
"348",2021-01-13,"IE",-21.1,-28.24
"349",2021-01-14,"IE",-20.75,-28.04
"350",2021-01-15,"IE",-20.9,-27.85
"351",2021-01-16,"IE",-22.47,-27.63
"352",2021-01-17,"IE",-23.24,-27.4
"353",2021-01-18,"IE",-23.53,-27.11
"354",2021-01-19,"IE",-22.32,-26.67
"355",2021-01-20,"IE",-21.53,-26.47
"356",2021-01-21,"IE",-20.9,-26.55
"357",2021-01-22,"IE",-20.65,-26.45
"358",2021-01-23,"IE",-20.62,-26.49
"359",2021-01-24,"IE",-20.68,-26.35
"360",2021-01-25,"IE",-21.04,-26.39
"361",2021-01-26,"IE",-21.43,-26.42
"362",2021-01-27,"IE",-22.02,-26.24
"363",2021-01-28,"IE",-21.96,-25.79
"364",2021-01-29,"IE",-21.44,-25.46
"365",2021-01-30,"IE",-21.06,-25.03
"366",2021-01-31,"IE",-20.56,-24.75
"367",2021-02-01,"IE",-20.04,-24.39
"368",2021-02-02,"IE",-19.61,-24.03
"369",2021-02-03,"IE",-18.9,-23.87
"370",2021-02-04,"IE",-18.52,-23.8
"371",2021-02-05,"IE",-18.32,-23.81
"372",2021-02-06,"IE",-17.51,-23.91
"373",2021-02-07,"IE",-16.66,-23.96
"374",2021-02-08,"IE",-15.66,-24.01
"375",2021-02-09,"IE",-14.58,-23.95
"376",2021-02-10,"IE",-14.28,-23.96
"377",2021-02-11,"IE",-12.82,-23.73
"378",2021-02-12,"IE",-11.49,-23.46
"379",2021-02-13,"IE",-10.7,-23.08
"380",2021-02-14,"IE",-10.3,-22.85
"381",2021-02-15,"IE",-9.9,-22.58
"382",2021-02-16,"IE",-10.34,-22.56
"383",2021-02-17,"IE",-10.44,-22.34
"384",2021-02-18,"IE",-11.7,-22.33
"385",2021-02-19,"IE",-13.08,-22.39
"386",2021-02-20,"IE",-14.42,-22.76
"387",2021-02-21,"IE",-15.56,-22.91
"388",2021-02-22,"IE",-16.68,-23.11
"389",2021-02-23,"IE",-16.99,-23.29
"390",2021-02-24,"IE",-16.63,-23.53
"391",2021-02-25,"IE",-16.89,-23.89
"392",2021-02-26,"IE",-17.12,-24.28
"393",2021-02-27,"IE",-17.27,-24.47
"394",2021-02-28,"IE",-17.26,-24.67
"395",2021-03-01,"IE",-17.28,-24.81
"396",2021-03-02,"IE",-17.83,-24.77
"397",2021-03-03,"IE",-18.37,-24.68
"398",2021-03-04,"IE",-17.36,-24.13
"399",2021-03-05,"IE",-15.56,-23.44
"400",2021-03-06,"IE",-13.48,-22.75
"401",2021-03-07,"IE",-11.42,-22.13
"402",2021-03-08,"IE",-9.59,-21.51
"403",2021-03-09,"IE",-7.36,-20.87
"404",2021-03-10,"IE",-5.76,-20.33
"405",2021-03-11,"IE",-4.48,-19.84
"406",2021-03-12,"IE",-3.54,-19.36
"407",2021-03-13,"IE",-2.79,-18.74
"408",2021-03-14,"IE",-2.17,-18.17
"409",2021-03-15,"IE",-1.59,-17.69
"410",2021-03-16,"IE",-0.87,-17.18
"411",2021-03-17,"IE",0.01,-16.63
"412",2021-03-18,"IE",-1.87,-16.43
"413",2021-03-19,"IE",-3.9,-16.24
"414",2021-03-20,"IE",-6.14,-16.1
"415",2021-03-21,"IE",-7.85,-16.09
"416",2021-03-22,"IE",-9.48,-16
"417",2021-03-23,"IE",-11.38,-16.16
"418",2021-03-24,"IE",-13.17,-16.38
"419",2021-03-25,"IE",-10.67,-16.26
"420",2021-03-26,"IE",-8.77,-16.23
"421",2021-03-27,"IE",-6.31,-16.1
"422",2021-03-28,"IE",-4.73,-15.85
"423",2021-03-29,"IE",-3.01,-15.63
"424",2021-03-30,"IE",-1.13,-15.26
"425",2021-03-31,"IE",0.07,-14.98
"426",2021-04-01,"IE",-1.18,-15.12
"427",2021-04-02,"IE",-1.35,-15.09
"428",2021-04-03,"IE",-3.69,-15.41
"429",2021-04-04,"IE",-4.27,-15.38
"430",2021-04-05,"IE",-5,-15.21
"431",2021-04-06,"IE",-7.58,-15.33
"432",2021-04-07,"IE",-9.72,-15.57
"433",2021-04-08,"IE",-11.94,-15.5
"434",2021-04-09,"IE",-15.32,-15.55
"435",2021-04-10,"IE",-16.56,-15.44
"436",2021-04-11,"IE",-18.43,-15.47
"437",2021-04-12,"IE",-19.91,-15.45
"438",2021-04-13,"IE",-17.38,-15.18
"439",2021-04-14,"IE",-13.81,-14.78
"440",2021-04-15,"IE",-9.49,-14.41
"441",2021-04-16,"IE",-4.69,-13.98
"442",2021-04-17,"IE",-0.24,-13.54
"443",2021-04-18,"IE",3.97,-13.19
"444",2021-04-19,"IE",7.84,-12.92
"445",2021-04-20,"IE",10.25,-12.65
"446",2021-04-21,"IE",11.82,-12.32
"447",2021-04-22,"IE",13.4,-12.02
"448",2021-04-23,"IE",15.66,-11.76
"449",2021-04-24,"IE",17.06,-11.41
"450",2021-04-25,"IE",18.32,-11.02
"451",2021-04-26,"IE",19.63,-10.65
"452",2021-04-27,"IE",19.92,-10.21
"453",2021-04-28,"IE",20.08,-9.79
"454",2021-04-29,"IE",19.69,-9.24
"455",2021-04-30,"IE",18.81,-8.71
"456",2021-05-01,"IE",19.24,-8.07
"457",2021-05-02,"IE",19.25,-7.55
"458",2021-05-03,"IE",18.88,-7.01
"459",2021-05-04,"IE",17.26,-6.65
"460",2021-05-05,"IE",16.22,-6.13
"461",2021-05-06,"IE",16.22,-5.61
"462",2021-05-07,"IE",16.19,-5.01
"463",2021-05-08,"IE",15.45,-4.49
"464",2021-05-09,"IE",14.76,-3.9
"465",2021-05-10,"IE",15.25,-3.22
"466",2021-05-11,"IE",19.68,-2.46
"467",2021-05-12,"IE",23.21,-1.9
"468",2021-05-13,"IE",24.83,-1.57
"469",2021-05-14,"IE",26.12,-1.21
"470",2021-05-15,"IE",26.94,-0.92
"471",2021-05-16,"IE",27.18,-0.78
"472",2021-05-17,"IE",26.26,-0.78
"473",2021-05-18,"IE",22.78,-0.85
"474",2021-05-19,"IE",19.29,-0.93
"475",2021-05-20,"IE",16.75,-0.73
"476",2021-05-21,"IE",14.65,-0.59
"477",2021-05-22,"IE",13.07,-0.68
"478",2021-05-23,"IE",12.15,-0.5
"479",2021-05-24,"IE",11.8,-0.33
"480",2021-05-25,"IE",11.29,-0.17
"481",2021-05-26,"IE",11.39,0.16
"482",2021-05-27,"IE",11.94,0.25
"483",2021-05-28,"IE",12.19,0.35
"484",2021-05-29,"IE",13.14,0.85
"485",2021-05-30,"IE",14.08,1.27
"486",2021-05-31,"IE",14.8,1.69
"487",2021-06-01,"IE",16.07,2.19
"488",2021-06-02,"IE",17.46,2.65
"489",2021-06-03,"IE",18.68,3.21
"490",2021-06-04,"IE",20.08,3.8
"491",2021-06-05,"IE",20.47,4.04
"492",2021-06-06,"IE",21.36,4.32
"493",2021-06-07,"IE",22.44,4.62
"494",2021-06-08,"IE",21.73,4.88
"495",2021-06-09,"IE",20.45,5.09
"496",2021-06-10,"IE",18.59,5.21
"497",2021-06-11,"IE",16.81,5.2
"498",2021-06-12,"IE",14.8,5.23
"499",2021-06-13,"IE",12.42,5.29
"500",2021-06-14,"IE",10.11,5.46
"501",2021-06-15,"IE",11.74,5.81
"502",2021-06-16,"IE",14.4,6.06
"503",2021-06-17,"IE",17.41,6.25
"504",2021-06-18,"IE",20.35,6.44
"505",2021-06-19,"IE",23.24,6.73
"506",2021-06-20,"IE",25.43,6.88
"507",2021-06-21,"IE",28.3,6.99
"508",2021-06-22,"IE",28.38,6.94
"509",2021-06-23,"IE",27.13,7.08
"510",2021-06-24,"IE",25.77,7.22
"511",2021-06-25,"IE",24.36,7.35
"512",2021-06-26,"IE",24.03,7.74
"513",2021-06-27,"IE",24.03,8.06
"514",2021-06-28,"IE",23.02,8.55
"515",2021-06-29,"IE",22.45,9.05
"516",2021-06-30,"IE",22.47,9.43
"517",2021-07-01,"IE",22.5,9.81
"518",2021-07-02,"IE",22.67,10.38
"519",2021-07-03,"IE",22.45,10.78
"520",2021-07-04,"IE",22.22,11.28
"521",2021-07-05,"IE",21.72,11.64
"522",2021-07-06,"IE",20.75,11.94
"523",2021-07-07,"IE",20.97,12.54
"524",2021-07-08,"IE",21.1,14.01
"525",2021-07-09,"IE",20.94,15.49
"526",2021-07-10,"IE",20.25,16.74
"527",2021-07-11,"IE",19.99,18.02
"528",2021-07-12,"IE",19.91,19.21
"529",2021-07-13,"IE",20.52,19.49
"530",2021-07-14,"IE",20,19.31
"531",2021-07-15,"IE",20.11,18.52
"532",2021-07-16,"IE",19.6,17.47
"533",2021-07-17,"IE",20.82,16.85
"534",2021-07-18,"IE",21.63,16.25
"535",2021-07-19,"IE",22.65,15.69
"536",2021-07-20,"IE",24.18,16.17
"537",2021-07-21,"IE",25.79,16.88
"538",2021-07-22,"IE",26.77,17.21
"539",2021-07-23,"IE",27.2,17.6
